Gegenstand;Stückzahl;Kategorie;Lagerort
DN32-Saug/Druckschlauchleitung 5m ;1;Arm;Dach
Saug-Druckschlauch DN32, 2,1m lang, eineseitig VK50 Kupplung;1;Arm;Dach
Saug-Druckschlauch säurefest DN 50 5m lang;10;Arm;Dach
6x Stahl/CFK-Druckiuftflasche 6,0/300bar  im Lager- und Tragegestell für jeweils 2 Flaschen;3;Arb;G1
Dichtkappe mit Ablasshahn für Chlorgasflaschen mit Zubehör;1;Sond;G1
Dichtungskeil Schaumstoff 800x500x200mm;2;Sond;G1
Dichtungsplatte Schaumstoff 900x900x20 mm;6;Sond;G1
Druckluftmembranpumpe zum Absaugen von Kraftstoffen aus Pkw- und Lkw-Tanks, explosionsgeschützt. Inkl. Schläuche, Druckminderer und Pistole;1;Arb;G1
ESD-Rollplattform antistatisch 410x610mm;2;Arb;G1
Fasskarre 1100x700x200mm;1;Arb;G1
Feuerwehr Werkzeugkasten nach DIN 14881;1;Hand;G1
Fuß verzinkt für Absperrstützen;10;BSF;G1
Gefahrstoff Umfüllpumpe DIN 14427 Kreiselpumpe;1;Arb;G1
ICONOS Düsenschlauch inkl. Zubehör im Tragekorb 870x145x520 mm;2;Arb;G1
Klappbarer Transportwagen 900x600mm, Fabrikat Fetra;1;Sond;G1
Lüfter Leader ESX 230 ATEX 550 x 550 x 490 mm;1;Arb;G1
Sackkarre klappbar ca 1100x460x300mm;1;Arb;G1
Seitenplanen für Pavillons ;1;Sond;G1
Tafel aus Weich PVC 500x1000x5 mm;2;Sond;G1
V4A-Saugbehälter 180ltr 870x570mm;1;Sond;G1
Zeltleuchte mit 2 Nylongurten, Fabrikat Aldebaran Profiline 54W 700 x 200 x 135 mm;2;BSF;G1
Atemschutzgerät mit Flasche u. Lungenautomat ;6;PSA;G2
Chemikalienanzug Typ 1a-ET Modell Onesuit Pro in Tasche 700x300x450mm;10;PSA;G2
Digitalkamera;1;Sond;G2
Dosisleistungsmessgerät mit einer akustischen und optischen Warnschwelle ;2;Mess;G2
Dosisleistungswarngerät für Feuerwehren geeignet,;1;Mess;G2
Dosiswarngerät ;4;Mess;G2
Euroblitzleuchte inkl. Ladehalterung;4;BSF;G2
Fernglas;1;Sond;G2
Fernthermometer ;1;Mess;G2
Gurtmesser mit Schutzhülle;1;Rett;G2
