Gegenstand;Stückzahl;Lagerort
B-Druckschlauch 20 m;4;G1 – Löschangriff
C-Druckschlauch 15 m;8;G1 – Löschangriff
Verteiler B-CBC;1;G1 – Löschangriff
C-Mehrzweckstrahlrohr CM;2;G1 – Löschangriff
Hohlstrahlrohr C;2;G1 – Löschangriff
Stützkrümmer B;1;G1 – Löschangriff
Standrohr 2B DIN 14375;1;G1 – Löschangriff
Unterflurhydrantenschlüssel;1;G1 – Löschangriff
Schlauchhalter;4;G1 – Löschangriff
Kupplungsschlüssel ABC;2;G1 – Löschangriff
Kübelspritze;1;G2 – Löschmittel
Pulverlöscher PG 6;1;G2 – Löschmittel
Löschdecke;1;G2 – Löschmittel
Zumischer Z2;1;G2 – Löschmittel
Schaummittelkanister 20 l;2;G2 – Löschmittel
Mittelschaumrohr M2;1;G2 – Löschmittel
Stromerzeuger 5 kVA;1;G3 – Strom & Werkzeug
Flutlichtstrahler 1000 W;1;G3 – Strom & Werkzeug
Beleuchtungsstativ;1;G3 – Strom & Werkzeug
Kabeltrommel 50 m 230 V;1;G3 – Strom & Werkzeug
Handscheinwerfer Ex;2;G3 – Strom & Werkzeug
Werkzeugkasten DIN 14881;1;G3 – Strom & Werkzeug
Feuerwehraxt;1;G3 – Strom & Werkzeug
Brechstange 700 mm;1;G3 – Strom & Werkzeug
Motorkettensäge;1;G3 – Strom & Werkzeug
Schnittschutzausrüstung;1;G3 – Strom & Werkzeug
Tragkraftspritze PFPN 10-1000;1;GR – Pumpe & Wasser (Heck)
Tauchpumpe TP 4/1;1;GR – Pumpe & Wasser (Heck)
A-Saugschlauch 1,6 m;4;GR – Pumpe & Wasser (Heck)
D-Druckschlauch 15 m;2;GR – Pumpe & Wasser (Heck)
Steckleiter (4 Teile);1;Dach
Einreißhaken;1;Dach
Pressluftatmer PA;4;Mannschaftsraum
Atemschutz-Vollmaske;4;Mannschaftsraum
Handfunkgerät Digital (HRT);2;Mannschaftsraum
Verbandkasten DIN 14142;1;Mannschaftsraum
Warnweste;6;Mannschaftsraum
Verkehrsleitkegel 500 mm;4;Mannschaftsraum
Warnblitzleuchte;2;Mannschaftsraum
Feuerwehrleine 30 m;2;Mannschaftsraum
